Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749563716,50,,Aggregated,25.100000,0.000000,10,10,13,15,19,24,37,38,180,240,240,2080,0,10,12.271458958654717,1.2567089997901348,241.11689900018973,158.85288461538462
1749563717,50,,Aggregated,25.600000,0.000000,10,10,13,15,18,24,37,38,180,240,240,2106,0,10,12.236453580722344,1.2567089997901348,241.11689900018973,158.89268755935421
1749563718,50,,Aggregated,24.700000,0.000000,10,10,13,15,18,24,37,38,180,240,240,2135,0,10,12.19998456768092,1.2567089997901348,241.11689900018973,158.93770491803278
1749563719,50,,Aggregated,25.300000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2161,0,10,12.167427226282609,1.2567089997901348,241.11689900018973,158.9773253123554
1749563720,50,,Aggregated,25.000000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2178,0,10,12.157802246095187,1.2567089997901348,241.11689900018973,159.00229568411388
1749563721,50,,Aggregated,25.300000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2207,0,10,12.169909386949374,1.2567089997901348,241.11689900018973,159.0421386497508
1749563722,50,,Aggregated,24.900000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2228,0,10,12.144035600538576,1.2567089997901348,241.11689900018973,159.07315978456015
1749563723,50,,Aggregated,25.100000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2255,0,10,12.110405600887923,1.2567089997901348,241.11689900018973,159.11352549889136
1749563724,50,,Aggregated,25.100000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2279,0,10,12.13749256209047,1.2567089997901348,241.11689900018973,159.14962702939886
1749563725,50,,Aggregated,25.000000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2306,0,10,12.125475867305196,1.2567089997901348,241.11689900018973,159.1808326105811
1749563726,50,,Aggregated,25.100000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2336,0,10,12.09200703895699,1.2567089997901348,241.11689900018973,159.21789383561645
1749563727,50,,Aggregated,24.400000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2360,0,10,12.083893588137702,1.2567089997901348,241.11689900018973,159.24533898305086
1749563728,50,,Aggregated,25.200000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2384,0,10,12.052497190437627,1.2567089997901348,241.11689900018973,159.27474832214764
1749563729,50,,Aggregated,24.700000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2410,0,10,12.031547611204738,1.2567089997901348,241.11689900018973,159.30705394190872
1749563730,50,,Aggregated,25.300000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2436,0,10,12.00266242487856,1.2567089997901348,241.11689900018973,159.33579638752053
1749563731,50,,Aggregated,25.200000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2461,0,10,11.989007890291422,1.2567089997901348,241.11689900018973,159.36733035351483
1749563732,50,,Aggregated,25.700000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2484,0,10,11.985478680760687,1.2567089997901348,241.11689900018973,159.39573268921094
1749563733,50,,Aggregated,25.500000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2512,0,10,11.964461546978136,1.2567089997901348,241.11689900018973,159.42476114649682
1749563734,50,,Aggregated,25.600000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2534,0,10,11.958807145229597,1.2567089997901348,241.11689900018973,159.44751381215468
1749563735,50,,Aggregated,26.000000,0.000000,10,10,13,14,18,23,36,38,180,240,240,2563,0,10,11.945693932115148,1.2567089997901348,241.11689900018973,159.47678501755755
1749563736,50,,Aggregated,24.600000,0.000000,10,10,13,14,18,23,36,38,180,240,240,2582,0,10,11.932995465534836,1.2567089997901348,241.11689900018973,159.49573973663826
1749563737,50,,Aggregated,25.400000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2610,0,10,11.933878315713102,1.2567089997901348,241.11689900018973,159.52528735632183
1749563738,50,,Aggregated,25.200000,0.000000,10,10,13,15,18,23,36,38,180,240,240,2638,0,10,11.921429624340028,1.2567089997901348,241.11689900018973,159.55420773313116
1749563739,50,,Aggregated,25.500000,0.000000,10,10,13,14,18,23,36,38,180,240,240,2661,0,10,11.903663458853476,1.2567089997901348,241.11689900018973,159.57797820368282
1749563740,50,,Aggregated,25.200000,0.000000,10,10,13,14,18,23,36,38,180,240,240,2689,0,10,11.88080853105527,1.2567089997901348,241.11689900018973,159.60505764224618
1749563741,50,,Aggregated,24.900000,0.000000,10,10,13,14,18,23,35,38,180,240,240,2715,0,10,11.869577287665912,1.2567089997901348,241.11689900018973,159.63093922651933
1749563742,50,,Aggregated,24.900000,0.000000,10,10,13,14,18,23,35,38,180,240,240,2738,0,10,11.852479345147856,1.2567089997901348,241.11689900018973,159.65668371073775
1749563743,50,,Aggregated,25.400000,0.000000,10,10,13,14,18,23,35,38,180,240,240,2765,0,10,11.854689464743178,1.2567089997901348,241.11689900018973,159.68462929475587
1749563744,50,,Aggregated,25.700000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2791,0,10,11.841289502693227,1.2567089997901348,241.11689900018973,159.7079899677535
1749563745,50,,Aggregated,24.800000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2813,0,10,11.82606009776609,1.2567089997901348,241.11689900018973,159.73018130110202
1749563746,50,,Aggregated,25.600000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2837,0,10,11.837357967929567,1.2567089997901348,241.11689900018973,159.74973563623547
1749563747,50,,Aggregated,25.400000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2860,0,10,11.838747542313897,1.2567089997901348,241.11689900018973,159.77202797202798
1749563748,50,,Aggregated,25.400000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2891,0,10,11.838945626433068,1.2567089997901348,241.11689900018973,159.79903147699758
1749563749,50,,Aggregated,25.100000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2911,0,10,11.820674115086534,1.2567089997901348,241.11689900018973,159.81484026107867
1749563750,50,,Aggregated,25.300000,0.000000,10,10,13,14,17,23,35,38,180,240,240,2942,0,10,11.803500956837977,1.2567089997901348,241.11689900018973,159.84602311352822
1749563751,50,,Aggregated,25.000000,0.000000,10,10,13,14,17,23,34,38,180,240,240,2968,0,10,11.781971781002818,1.2567089997901348,241.11689900018973,159.8716307277628
1749563752,50,,Aggregated,25.000000,0.000000,10,10,13,14,17,23,34,38,180,240,240,2997,0,10,11.759703780453016,1.2567089997901348,241.11689900018973,159.89322655989324
1749563753,50,,Aggregated,25.300000,0.000000,10,10,13,14,17,23,34,38,160,240,240,3017,0,10,11.743966711640113,1.2567089997901348,241.11689900018973,159.91117003646005
1749563754,50,,Aggregated,25.100000,0.000000,10,10,13,14,17,23,34,38,160,240,240,3040,0,10,11.740218003952924,1.2567089997901348,241.11689900018973,159.93125
1749563755,50,,Aggregated,25.300000,0.000000,10,10,13,14,17,23,32,38,160,240,240,3075,0,10,11.726654136915844,1.2567089997901348,241.11689900018973,159.95804878048781
1749563756,50,,Aggregated,25.500000,0.000000,10,10,13,14,17,23,32,38,160,240,240,3095,0,10,11.719099490473214,1.2567089997901348,241.11689900018973,159.9751211631664
1749563757,50,,Aggregated,26.300000,0.000000,10,10,13,14,17,22,31,38,160,240,240,3123,0,10,11.705194911948972,1.2567089997901348,241.11689900018973,159.99679795068843
1749563758,50,,Aggregated,25.500000,0.000000,9,10,13,14,17,22,31,38,160,240,240,3145,0,9,11.68916519777935,1.2567089997901348,241.11689900018973,160.0114467408585
1749563759,50,,Aggregated,25.800000,0.000000,9,10,13,14,17,22,31,38,160,240,240,3168,0,9,11.685240013262597,1.2567089997901348,241.11689900018973,160.02935606060606
1749563760,50,,Aggregated,25.700000,0.000000,9,10,13,14,17,22,31,38,160,240,240,3195,0,9,11.6799347048562,1.2567089997901348,241.11689900018973,160.05007824726135
1749563761,50,,Aggregated,25.100000,0.000000,9,10,12,14,17,22,31,38,160,240,240,3213,0,9,11.665997202619996,1.2567089997901348,241.11689900018973,160.0653594771242
1749563762,50,,Aggregated,25.400000,0.000000,9,10,12,14,17,22,31,38,160,240,240,3245,0,9,11.658590485366949,1.2567089997901348,241.11689900018973,160.08567026194146
1749563763,50,,Aggregated,24.800000,0.000000,9,10,12,14,17,22,30,38,160,240,240,3265,0,9,11.651288979790934,1.2567089997901348,241.11689900018973,160.09678407350688
1749563764,50,,Aggregated,25.100000,0.000000,9,10,12,14,17,22,30,38,160,240,240,3287,0,9,11.63853241193111,1.2567089997901348,241.11689900018973,160.11469425007607
1749563765,50,,Aggregated,24.900000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3310,0,9,11.62671128187779,1.2567089997901348,241.11689900018973,160.13051359516615
1749563766,50,,Aggregated,24.600000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3337,0,9,11.62293552352893,1.2567089997901348,241.11689900018973,160.14713814803716
1749563767,50,,Aggregated,23.600000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3363,0,9,11.607898340177242,1.2567089997901348,241.11689900018973,160.15997621171573
1749563768,50,,Aggregated,23.900000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3381,0,9,11.597078846203573,1.2567089997901348,241.11689900018973,160.17213842058564
1749563769,50,,Aggregated,24.200000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3409,0,9,11.589984946909338,1.2567089997901348,241.11689900018973,160.19008506893516
1749563770,50,,Aggregated,23.500000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3438,0,9,11.577790836827553,1.2567089997901348,241.11689900018973,160.2111692844677
1749563771,50,,Aggregated,24.500000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3461,0,9,11.563739324188152,1.2567089997901348,241.11689900018973,160.2250794568044
1749563772,50,,Aggregated,24.200000,0.000000,9,10,12,14,17,22,30,38,160,240,240,3487,0,9,11.579728482366477,1.2567089997901348,241.11689900018973,160.2420418698021
1749563773,50,,Aggregated,24.800000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3514,0,9,11.564573830681569,1.2567089997901348,241.11689900018973,160.25754126351737
1749563774,50,,Aggregated,24.100000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3536,0,9,11.557830419970006,1.2567089997901348,241.11689900018973,160.2697963800905
1749563775,50,,Aggregated,25.100000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3569,0,9,11.547255243489706,1.2567089997901348,241.11689900018973,160.2899971980947
1749563776,50,,Aggregated,24.900000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3589,0,9,11.536243371416374,1.2567089997901348,241.11689900018973,160.29924770130955
1749563777,50,,Aggregated,25.300000,0.000000,9,10,12,14,17,22,29,37,160,240,240,3614,0,9,11.523426517159214,1.2567089997901348,241.11689900018973,160.31322634200333
1749563778,50,,Aggregated,25.400000,0.000000,9,10,12,14,17,21,29,37,160,240,240,3644,0,9,11.519661584801002,1.2567089997901348,241.11689900018973,160.32958287596048
1749563779,50,,Aggregated,24.800000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3669,0,9,11.530317899158733,1.2567089997901348,241.11689900018973,160.3396020714091
1749563780,50,,Aggregated,26.100000,0.000000,9,10,12,14,17,22,30,37,160,240,240,3695,0,9,11.522934550747763,1.2567089997901348,241.11689900018973,160.3553450608931
1749563781,50,,Aggregated,26.100000,0.000000,9,10,12,14,17,21,29,37,160,240,240,3722,0,9,11.516382113382893,1.2567089997901348,241.11689900018973,160.3699623858141
1749563782,50,,Aggregated,25.500000,0.000000,9,10,12,14,17,21,29,37,160,240,240,3744,0,9,11.511343291937091,1.2567089997901348,241.11689900018973,160.37980769230768
1749563783,50,,Aggregated,26.000000,0.000000,9,10,12,14,17,21,29,37,160,240,240,3776,0,9,11.499972047938599,1.2567089997901348,241.11689900018973,160.395656779661
1749563784,50,,Aggregated,25.400000,0.000000,9,10,12,14,17,21,29,37,160,240,240,3799,0,9,11.486751492238453,1.2567089997901348,241.11689900018973,160.40747565148723
1749563785,50,,Aggregated,25.700000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3827,0,9,11.475746241184162,1.2567089997901348,241.11689900018973,160.42565978573296
1749563786,50,,Aggregated,26.000000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3849,0,9,11.469117281374777,1.2567089997901348,241.11689900018973,160.43777604572617
1749563787,50,,Aggregated,26.100000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3873,0,9,11.462573915830392,1.2567089997901348,241.11689900018973,160.4513297185644
1749563788,50,,Aggregated,26.000000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3895,0,9,11.459089359181963,1.2567089997901348,241.11689900018973,160.46007702182285
1749563789,50,,Aggregated,26.000000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3919,0,9,11.446656733098363,1.2567089997901348,241.11689900018973,160.46976269456493
1749563790,50,,Aggregated,25.100000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3946,0,9,11.449074071974993,1.2567089997901348,241.11689900018973,160.47997972630512
1749563791,50,,Aggregated,25.200000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3970,0,9,11.435941543832385,1.2567089997901348,241.11689900018973,160.49068010075567
1749563792,50,,Aggregated,25.400000,0.000000,9,10,12,14,16,21,29,37,160,240,240,3996,0,9,11.456256376880823,1.2567089997901348,241.11689900018973,160.5035035035035
1749563793,50,,Aggregated,24.800000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4017,0,9,11.451189665674809,1.2567089997901348,241.11689900018973,160.51481204879263
